file,delta_aic,chi2_sine,chi2_saw,period_sine,period_saw,amp_sine,phase_sine,offset_sine,amp_saw,phase_saw,offset_saw
lc_0000.txt,2822.5545223331283,10401.840354108896,7579.285831775767,363.5972587277967,238.34049591852155,,,,,,
lc_0001.txt,1140.177046059967,5860.020271727526,4719.843225667559,389.8196789787968,304.9715645212651,,,,,,
lc_0002.txt,-5541.075476876948,33716.44400751624,39257.51948439319,348.4061411914613,199.31992293021932,,,,,,
lc_0003.txt,34445.86368920014,340154.92826127965,305709.0645720795,432.2600834784793,520.2879805495454,,,,,,
lc_0004.txt,-2056.086232554888,14580.213699105068,16636.299931659956,354.2777737578459,574.3752877795149,,,,,,
lc_0005.txt,143.6273388752602,2628.0725524902423,2484.445213614982,372.4742399630341,385.3139778589065,,,,,,
lc_0006.txt,11956.854301459289,67408.24239047499,55451.3880890157,445.4380464568512,427.9314822170584,,,,,,
lc_0007.txt,-32510.762612861,239943.2464398049,272454.0090526659,354.9411714795776,338.1964715456324,,,,,,
lc_0008.txt,938.7714696352814,14962.402378340088,14023.630908704808,356.05115207452553,308.16084709690455,,,,,,
lc_0009.txt,105120.02150263908,319560.0459880576,214440.02448541851,360.1924561124127,458.0101950832485,,,,,,
lc_0010.txt,42254.41526765423,288661.6656333818,246407.2503657276,337.6210988301763,976.9216578177956,,,,,,
lc_0011.txt,-1235.9861372599662,20369.57470258629,21605.56083984626,406.11052093185833,317.9782371076704,,,,,,
lc_0012.txt,36795.07342265596,137465.80516398494,100670.731741329,588.2567928947051,200.21362790414264,,,,,,
lc_0013.txt,6078.011289035378,142714.31210272136,136636.300813686,393.63029612491033,380.8886181161588,,,,,,
lc_0014.txt,70578.54242170685,179545.18265417792,108966.64023247108,479.73954281145626,393.5363375937015,,,,,,
lc_0015.txt,-9348.759922400204,51378.21273010451,60726.97265250472,379.87866706543736,271.24889909212897,,,,,,
lc_0016.txt,-1058.1162276729028,12310.448277771591,13368.564505444494,452.0028326009556,271.4309615512542,,,,,,
lc_0017.txt,-8165.85013635589,35070.043960344585,43235.89409670048,575.3318505206141,845.6321499506678,,,,,,
lc_0018.txt,1232.6426555063736,5050.127281899162,3817.484626392789,389.8629719877704,330.581716502975,,,,,,
lc_0019.txt,-36.74367176378109,2701.7633323744026,2738.507004138184,333.0199336435515,330.9134789084235,,,,,,
lc_0020.txt,79005.40623374586,340080.7109770099,261075.30474326405,376.2752656289204,406.0871788390479,,,,,,
lc_0021.txt,84706.42053630007,184809.1830210649,100102.76248476484,517.3372857852651,448.0746443164617,,,,,,
lc_0022.txt,-1063.9187054784943,6711.67442743842,7775.593132916914,314.982908801133,368.947915124868,,,,,,
lc_0023.txt,-2231.968487688142,4542.199953881029,6774.168441569171,416.7627594379637,464.356932361686,,,,,,
lc_0024.txt,5626.373799167253,43361.47578838623,37735.10198921898,384.95431314074136,487.4233709020225,,,,,,
lc_0025.txt,61047.18129190781,154898.18218354572,93851.00089163792,503.44063501823695,437.8193900826087,,,,,,
lc_0026.txt,23.718763294138625,11356.713822427726,11332.995059133587,408.2060812445996,335.1276370570562,,,,,,
lc_0027.txt,3062.2661666141503,33890.92296406429,30828.656797450138,368.9952539306101,550.8562162332233,,,,,,
lc_0028.txt,-19910.223176263917,65116.89212734504,85027.11530360895,354.9789537146877,595.8930057189608,,,,,,
lc_0029.txt,102.0793480256034,42089.971482636334,41987.89213461073,352.9940483917807,357.73801744278023,,,,,,
lc_0030.txt,-195365.59633426185,627321.0471444926,822686.6434787544,354.12189956509513,509.9520586641605,,,,,,
lc_0031.txt,-27013.612670828137,40313.49661855935,67327.10928938749,329.0453614449042,339.4460759986404,,,,,,
lc_0032.txt,-551.816646217394,6496.1356530307,7047.952299248094,304.9166425233942,319.1573614350352,,,,,,
lc_0033.txt,3206.4345660475647,16298.652751370642,13092.218185323078,395.0026375605392,301.06700832348935,,,,,,
lc_0034.txt,8303.920419817237,227161.3651674589,218857.4447476416,353.51505533009674,272.4637255142382,,,,,,
lc_0035.txt,-28742.935566678643,161333.59909113892,190076.5346578176,538.1211082358286,657.5518213863791,,,,,,
lc_0036.txt,23215.8928923396,145570.57711799134,122354.68422565174,404.7695777911934,411.97988697697656,,,,,,
lc_0037.txt,-3562.656535521688,32855.98728436412,36418.64381988581,433.78018891084,464.9716512932299,,,,,,
lc_0038.txt,-417.0554231259157,64042.81712231972,64459.87254544564,356.2881546594923,484.4888142753518,,,,,,
lc_0039.txt,-12.872394151607295,21992.75915017714,22005.631544328746,401.1346067158789,509.8825203021945,,,,,,
lc_0040.txt,4861.120337398694,100064.2760029576,95203.15566555892,332.65655309137946,398.0428622783065,,,,,,
lc_0041.txt,2859.6522298186683,47372.857920619965,44513.2056908013,326.66950611164066,441.90686212895184,,,,,,
lc_0042.txt,1715.3415262584822,12728.216468871393,11012.87494261291,328.45901046458096,746.0255342173657,,,,,,
lc_0043.txt,-1325.341382137849,207235.40517676892,208560.7465589068,511.1758405256705,292.1772018278289,,,,,,
lc_0044.txt,-3946.909872448552,102584.0748566978,106530.98472914634,406.217096634886,261.1208851785723,,,,,,
lc_0045.txt,-6411.382074369416,43762.6265089729,50174.00858334232,354.15699039893667,462.7540563830623,,,,,,
lc_0046.txt,-1322.3201169638196,37946.73178564072,39269.05190260454,395.64011134275785,762.5243047888639,,,,,,
lc_0047.txt,-27275.0613231418,140263.45588666154,167538.51720980334,379.4264009494903,443.8576147524947,,,,,,
lc_0048.txt,-6232.448348223479,63337.26037520773,69569.7087234312,360.932712634369,571.2297790729806,,,,,,
lc_0049.txt,1977.6384256464016,6032.974388109787,4055.335962463385,488.9397715121788,550.4217249717072,,,,,,
lc_0050.txt,11396.064523205292,98759.43112489456,87363.36660168928,455.60579497869577,302.2479972017962,,,,,,
lc_0051.txt,-1200.0217110637632,6663.235041342961,7863.256752406724,333.3219185349873,944.3243822540808,,,,,,
lc_0052.txt,-66.96214642033192,2805.4750335023573,2872.437179922689,370.2998138703918,310.9288136970429,,,,,,
lc_0053.txt,46725.07192789746,430832.2049755917,384107.1330476943,377.4770827025834,170.80491997707918,,,,,,
lc_0054.txt,-1418.06364277385,29969.41934591946,31387.48298869331,350.90506145096543,353.34190531936287,,,,,,
lc_0055.txt,1273.633299750989,14471.323543069244,13197.690243318257,405.4932429383331,351.18003604929424,,,,,,
lc_0056.txt,-3520.096725066905,66064.6664382436,69584.7631633105,312.7040770961044,422.28438058246513,,,,,,
lc_0057.txt,-11084.70749378376,72457.43342870387,83542.14092248763,345.8159595386526,447.9056809652986,,,,,,
lc_0058.txt,257.5211033844937,1678.729620756496,1421.2085173720022,377.4451580856871,340.2914051367105,,,,,,
lc_0059.txt,404.8126140591394,3040.976004451706,2636.1633903925667,356.9605212936668,417.7701211315402,,,,,,
lc_0060.txt,3917.3957694495766,36646.603946182,32729.208176732427,318.1738479900299,354.0918636666406,,,,,,
lc_0061.txt,75743.46682163648,320682.43882765603,244938.97200601955,424.7432926053456,157.6031852511597,,,,,,
lc_0062.txt,2077.700799930106,41291.719890380045,39214.01909044994,402.7960252727437,293.7430950509619,,,,,,
lc_0063.txt,-17232.961868971615,135210.54971537442,152443.51158434604,346.29239097820266,523.0893978641762,,,,,,
lc_0064.txt,544.1442617474895,23921.96406096124,23377.81979921375,401.5201423194044,175.34351391429917,,,,,,
lc_0065.txt,-9266.244356388182,25717.645277217016,34983.8896336052,274.0960572827095,533.9718627122389,,,,,,
lc_0066.txt,-309.93675054840423,36400.40824601971,36710.344996568114,362.870335600605,526.9729104870709,,,,,,
lc_0067.txt,-666.7515397395,10020.125850657254,10686.877390396754,377.0511013651579,543.6346530640562,,,,,,
lc_0068.txt,-52390.48337147085,149348.85572024283,201739.3390917137,318.5355897396297,398.5531505777409,,,,,,
lc_0069.txt,15214.08812891183,43789.34527111163,28575.257142199804,524.4981005321368,344.3788792964374,,,,,,
lc_0070.txt,-2729.0097578305576,71517.74846797064,74246.7582258012,388.353063030496,426.0779590525092,,,,,,
lc_0071.txt,276.0000521364127,7489.430494477267,7213.430442340854,292.87580115341103,365.4201819222,,,,,,
lc_0072.txt,277.546453899392,4437.193759064535,4159.647305165143,409.411090705318,311.8280867296926,,,,,,
lc_0073.txt,665.707142844054,92849.56179931165,92183.85465646758,317.4418034164506,488.8438605315481,,,,,,
lc_0074.txt,23410.34181428992,243886.50776042332,220476.16594613343,335.1796333490349,828.048887027544,,,,,,
lc_0075.txt,-13810.071724259848,69572.47846982189,83382.55019408173,404.063281115003,519.0513704132851,,,,,,
lc_0076.txt,80789.41062873614,300511.0991890178,219721.68856028165,630.8499405342785,295.7776052456546,,,,,,
lc_0077.txt,-1933.327362538479,19205.23107250802,21138.5584350465,392.5216354576887,502.9223668696324,,,,,,
lc_0078.txt,-24024.50385704513,86445.68598935782,110470.18984640297,453.9329855872491,366.3022735755954,,,,,,
lc_0079.txt,13246.434337881918,483551.9397020973,470305.5053642154,359.562903890868,305.98844124887484,,,,,,
lc_0080.txt,-72761.11788093433,202466.3916069764,275227.5094879107,335.2707827088551,647.3039962997932,,,,,,
