chi2 A omega phi0 
20.489844364942293 0.07505825183085592 0.008573952738241002 2.4078864583867614
6.575831969368025 0.04696849856819148 0.0052537451798698506 2.5637868849801833
61.26377598734895 0.16692222866626574 0.00986135507473422 3.9260823006085412
461.5738440384924 0.32784028499497936 0.0035939783176315047 2.381491341590005
17.845498705115034 0.08447461568033801 0.007050714640277859 4.483983305163584
3.2832497991607266 0.03864222733491802 0.0029923644851483685 2.0554035234427577
77.9355594650646 0.2510034109475693 0.004624603659318089 3.2652088690378553
387.13648452384405 0.21484229024454154 0.0020906378776877183 4.0908665887758895
21.888936646219516 0.059609027795604785 0.0032460651312230114 0.19329788510082782
446.63852568074424 0.3870970480807784 0.014672280878349426 0.1749621670539341
379.31190505609436 0.35242501290285017 0.0027920816833243945 2.0823763041913668
74.54123166908161 0.11204545094540996 0.005308101750302943 0.5592156642853605
119.67470716234281 0.3428110575273501 0.003919791629686779 2.131673649608805
81.18920322914012 0.3015657762460096 0.0031595143111712944 5.110704890471606
497.110194943234 0.32846403571506005 0.0045980638698423 4.532685061564402
85.73640679224799 0.15946375369888427 0.00727322559452919 5.704252765621306
13.150298237474127 0.08074159935499965 0.0038814383485608834 3.0421025273710143
183.7989437844091 0.2104139404365612 0.007047405259916477 4.285499003292433
6.095987290089448 0.04529007820167137 0.014435683343332435 2.02312656187316
10.483821198836168 0.04882083781731566 0.00781657976151383 2.7912962775090837
388.8863034962576 0.3928184583533568 0.012046857502097464 3.2138942131165957
167.65310443873824 0.47803520914516795 0.00493569280235187 5.801785263284179
4.677558051941512 0.063813426514283 0.0034927624386590023 1.8816342071587273
29.904222235404784 0.06592635200189127 0.003733319057565947 0.7165454546342378
70.73907961512074 0.1460209754070126 0.003239807760778171 3.510227635952545
106.8609848439206 0.27962766960121344 0.003048707676802086 2.8451410659164726
19.42376876888696 0.054677890694176425 0.011842323926425941 2.2988369830785627
75.0012924483441 0.09031385577670573 0.0033071100385539958 1.144715301953544
143.17123105072716 0.2281490128062013 0.020376911948265422 1.9621450153639992
68.89030333620246 0.11371053797114873 0.006581962749822658 3.350392898563812
769.9942515911115 0.47206583459866314 0.0037282300859115213 0.5075255553187087
43.1739285455383 0.10666997040511553 0.0032827804257104507 1.2150526242691477
16.973704659198145 0.05556433449184399 0.00483594692456388 5.771120358873199
18.102322148748257 0.09071112452664683 0.0031022546441089043 2.7935679749991387
243.8255540553519 0.29163775736820663 0.006809932195945305 5.08490509028612
