chi2 A omega phi0 
20.131607615320593 0.09433915810846741 0.00774485713530251 3.565040921156997
5.693345385299969 0.06664602735759816 0.005145282301979973 2.5918545852965558
75.9354067193263 0.1415987572538838 0.008887857549212239 4.510206654280468
464.103617416639 0.45280042907120777 0.0041508487320604205 1.0438653326044893
21.70035078332868 0.07638461283217073 0.0033900951200073574 5.35247390657714
4.539364011460289 0.0385299212876726 0.003331044818387675 2.7019468745690243
127.45124929812708 0.21916116017734238 0.004583090544884119 3.9943038834233633
373.8890121479167 0.29195753624830234 0.002408627174804152 3.4894722238082743
21.149615112596454 0.08078939962716086 0.00251845224069894 1.4912948336792256
467.4963047258792 0.4381496084419385 0.003621099725726894 6.28170670833942
371.05723602049784 0.4298271715320634 0.002796394806921729 1.38185296613539
65.29603524967068 0.17017194084873113 0.005533487476465928 0.5870710708731403
131.98745578326714 0.40189063633763816 0.003919791629728505 1.6340699227425217
96.73752944871661 0.3121480134067983 0.0030955405899386677 5.058498472782378
410.6989812043051 0.5187986062209325 0.0050158633128200986 4.084269987994518
99.10920028675956 0.13751111603201122 0.003506143501732611 5.859058966346931
14.439305116772111 0.08838146005285724 0.0033273349962824215 3.9869355581210346
194.47749402271904 0.24507823615164606 0.006557788078227896 5.032907783455321
7.6680859762916525 0.03928030444878537 0.013865298254895415 2.517729591424093
11.165035682604778 0.056926581917578524 0.006471984198317273 4.1262994412863865
428.1032565630482 0.4524269842933359 0.0026085018607633834 1.8409439360457083
191.1421271300307 0.47675370563759556 0.00551186712949621 5.4961139545731506
6.014959114432709 0.07450870163586909 0.0036421873661741893 2.013780877697148
30.323314299166224 0.07936269612488482 0.0037732961291861 0.8791498730560926
87.4659095307237 0.1371463504030305 0.014191413340671142 2.150665600740624
95.71248285970483 0.36213453472272644 0.0030487840936846717 3.197573966216363
17.54962398203943 0.0778291276234796 0.011505582508879994 3.1811450384291007
73.57645152099421 0.11962518504719961 0.006579922158449089 0.5100559051119494
167.51958924698715 0.23686295673044128 0.004690946377690213 5.550593110923022
76.6718500138683 0.1015096034443597 0.0027383469323774695 5.831179086717761
719.1843155119299 0.6129117323190678 0.004070787811285488 0.016831241205061707
35.01620443911682 0.14564095372094363 0.0017917847675006948 6.147062343092803
15.8155008064973 0.07049074627397513 0.004169455493170761 0.007728392033477036
19.643146810829844 0.10618689198824185 0.0029914792969404354 2.7355291869176677
275.3787937898004 0.30255302870783024 0.007115809760959626 4.905904455994074
360.1213869445381 0.4378984403779008 0.0067435664550112625 6.134794294984351
970.5492353057709 0.4881681561963369 0.008532095614866078 0.0022635100617248295
